id,region,year,policy,swb,ccs,hyd,oil,dac,lul,agriculture and forestry,oil and gas,mining,utilities,construction,manufacturing,transportation,services,direct air capture
72956,can,2030,netzero,ref,low,ref,low,no,high,65.24833398,55.8570342,31.69576703,52.59023178,162.6052018,261.8350578,146.5897601,1714.306251,0
73019,can,2030,netzero,low,low,ref,low,no,high,65.37621992,55.55139771,31.92641827,53.02399979,164.8330786,264.356984,147.6173198,1724.104376,0
73082,can,2030,netzero,high,low,ref,low,no,high,64.73567326,57.14026724,31.33097742,52.71901465,161.6668985,259.8609731,145.6005335,1705.854306,0
73145,can,2030,netzero,ref,low,low,low,no,high,65.22286562,55.84930075,31.68970856,52.63160217,162.6535945,261.902965,146.5885611,1714.379027,0
73208,can,2030,netzero,low,low,low,low,no,high,65.30563099,55.4416119,31.9085856,53.03064944,164.8605141,264.6318072,147.6384284,1724.20167,0
73271,can,2030,netzero,high,low,low,low,no,high,64.73875843,57.04849684,31.33150877,52.73122401,161.6505108,259.845221,145.5754153,1705.916553,0
73334,can,2030,netzero,ref,low,high,low,no,high,65.1951232,55.83362809,31.62522233,52.57797068,162.6812329,262.1329827,146.6109053,1714.431658,0
73397,can,2030,netzero,low,low,high,low,no,high,65.38186587,55.53278964,31.92726762,53.00990993,164.8196537,264.3532067,147.6196258,1724.083425,0
73460,can,2030,netzero,high,ref,high,ref,no,high,55.80077141,123.9304316,27.402355,53.23164842,166.209458,232.6049297,141.01568,1670.726576,0
73523,can,2030,netzero,high,low,high,low,no,high,64.74618825,57.15605572,31.3331531,52.71521329,161.6612705,259.8782235,145.6102466,1705.850204,0
73586,can,2030,netzero,ref,low,ref,low,yes,high,65.24958924,55.84611945,31.69514068,52.5916236,162.5998522,261.84458,146.5911239,1714.312178,0
73649,can,2030,netzero,low,low,ref,low,yes,high,65.37846107,55.53524637,31.92704281,53.01877124,164.8203478,264.3561167,147.6148923,1724.091635,0
73712,can,2030,netzero,high,low,ref,low,yes,high,64.78864153,57.11196434,31.36884712,52.73389322,161.6409215,259.8423456,145.6156369,1705.803736,0
73775,can,2030,netzero,ref,low,low,low,yes,high,65.23155142,55.84661769,31.69351061,52.62805651,162.6295359,261.8349606,146.5831819,1714.335794,0
73838,can,2030,netzero,low,low,low,low,yes,high,65.35857469,55.49329482,31.92161474,53.04052617,164.7937989,264.3305447,147.6244397,1724.026324,0
73901,can,2030,netzero,high,low,low,low,yes,high,64.7308765,57.05025813,31.32709123,52.75789335,161.6549019,259.8661043,145.5813268,1705.934015,0
73964,can,2030,netzero,ref,low,high,low,yes,high,65.25220655,55.85974555,31.69623761,52.58270722,162.5797879,261.8128875,146.594486,1714.265737,0
74027,can,2030,netzero,low,low,high,low,yes,high,65.3739279,55.48567301,31.94711946,53.01796743,164.8934465,264.6417989,147.6377147,1724.196474,0
74090,can,2030,netzero,high,low,high,low,yes,high,64.72586227,57.14959865,31.34290463,52.62452655,161.7125099,259.8749666,145.6267878,1705.879719,0
74153,can,2030,netzero,ref,ref,ref,ref,yes,high,56.397123,123.5649557,27.89913498,53.53890773,167.601035,235.3168028,142.6038332,1681.369576,0
74216,can,2030,netzero,ref,high,ref,low,no,high,64.93074354,54.32442047,31.54690214,52.81152004,161.7635444,261.0841316,146.7247335,1713.405205,0
74279,can,2030,netzero,low,high,ref,low,no,high,65.10440908,54.78529239,31.76982925,53.02471188,163.9652509,262.8816384,147.6611215,1721.645941,0
74342,can,2030,netzero,high,high,ref,low,no,high,64.77281549,55.54125552,31.25946744,52.7020037,160.8694841,259.2842716,145.1249377,1705.149039,0
74405,can,2030,netzero,ref,high,low,low,no,high,64.91607009,54.30408565,31.54903499,52.8287586,161.7596983,261.0713491,146.7313683,1713.602459,0
74468,can,2030,netzero,low,high,low,low,no,high,65.08405138,54.75651695,31.76391061,53.05469222,163.944648,262.8565958,147.6628656,1721.588999,0
74531,can,2030,netzero,high,high,low,low,no,high,64.74759342,55.51966918,31.25800844,52.76119136,160.895431,259.2447185,145.1209348,1705.242992,0
74594,can,2030,netzero,ref,high,high,low,no,high,64.99857124,54.35512773,31.56661154,52.78698601,161.6838704,260.808701,146.7027024,1713.278857,0
74657,can,2030,netzero,low,high,high,low,no,high,65.07061508,54.73595336,31.75984558,53.01642989,164.0465307,263.1799801,147.6805206,1721.812061,0
74720,can,2030,netzero,high,high,high,low,no,high,64.7718625,55.55345117,31.25446845,52.69014915,160.8636434,259.308868,145.1312028,1705.103152,0
74783,can,2030,netzero,ref,high,ref,low,yes,high,64.9996497,54.35990595,31.57074239,52.79603992,161.7045467,260.8288634,146.7168006,1713.493162,0
122474,can,2030,netzero,ref,ref,ref,ref,no,low,56.38085266,123.5600448,27.90316664,53.53615744,167.6340672,235.4148103,142.6183331,1681.881288,0
122537,can,2030,netzero,low,ref,ref,ref,no,low,56.66270501,125.0803636,28.48232008,54.51902072,171.7928019,238.097388,145.3357487,1696.769674,0
122600,can,2030,netzero,low,ref,ref,ref,yes,low,56.65764048,125.0803124,28.48190714,54.51968308,171.7938563,238.0977206,145.3409925,1696.771037,0
