id,region,year,policy,swb,ccs,hyd,oil,dac,lul,agriculture and forestry,oil and gas,mining,utilities,construction,manufacturing,transportation,services,direct air capture
71822,can,2030,netzero,high,ref,ref,low,no,high,385.0077403,103.1646521,119.5594484,72.33236609,1732.296906,2268.90986,965.7746775,15436.50904,0
71885,can,2030,netzero,ref,ref,low,low,no,high,386.4242907,104.2694604,119.8512305,73.23140985,1735.965555,2287.248949,973.7478526,15502.1586,0
71948,can,2030,netzero,low,ref,low,low,no,high,388.1311489,102.8644175,120.5812017,75.54852965,1755.014888,2313.739563,982.7347678,15582.98733,0
72011,can,2030,netzero,high,ref,low,low,no,high,385.041447,103.0278421,119.5508946,72.35677641,1732.453057,2266.949455,965.889002,15437.21952,0
72074,can,2030,netzero,ref,ref,high,ref,no,high,377.7181667,153.2290196,113.1517861,73.22513359,1808.419375,2081.568752,956.7899631,15377.95353,0
72137,can,2030,netzero,ref,ref,high,low,no,high,386.450781,104.2332926,119.8594771,73.19995205,1735.430621,2286.667359,973.5577107,15501.71083,0
72200,can,2030,netzero,low,ref,high,low,no,high,388.1231347,102.9131535,120.6034195,75.53060286,1755.329621,2314.994762,982.834046,15583.481,0
72263,can,2030,netzero,high,ref,high,low,no,high,385.0001366,103.1907823,119.5563365,72.32278926,1732.149432,2269.044926,965.7069547,15436.23705,0
72326,can,2030,netzero,ref,ref,ref,low,yes,high,386.4227399,104.2060683,119.8566977,73.21235513,1735.494521,2287.68299,973.6110486,15502.03542,0
72389,can,2030,netzero,low,ref,ref,low,yes,high,388.1250537,102.8823827,120.6040709,75.53553896,1755.329745,2315.070942,982.8451536,15583.57715,0
72452,can,2030,netzero,high,ref,ref,low,yes,high,385.0041607,103.1704526,119.5592203,72.33285753,1732.307757,2268.984885,965.7796594,15436.56673,0
72515,can,2030,netzero,ref,ref,low,low,yes,high,386.5893758,104.1740414,119.8632483,73.22365066,1735.118566,2280.93725,973.6633783,15501.69933,0
72578,can,2030,netzero,low,ref,low,low,yes,high,388.26833,102.9014459,120.5902555,75.54881427,1754.781925,2308.17387,982.6674647,15582.41556,0
72641,can,2030,netzero,high,ref,low,low,yes,high,384.9914985,103.0938747,119.5519127,72.36029859,1732.685975,2268.787286,965.9415185,15437.44891,0
72704,can,2030,netzero,ref,ref,high,low,yes,high,386.4443071,104.2283108,119.8592855,73.20019536,1735.400162,2286.726214,973.5494293,15501.7224,0
72767,can,2030,netzero,low,ref,high,ref,no,high,379.1665185,154.2367884,114.4239771,76.75169376,1844.48997,2111.609966,973.478722,15513.67028,0
72830,can,2030,netzero,low,ref,high,low,yes,high,388.3714238,102.9472199,120.6238582,75.52838743,1754.739905,2305.069844,982.7071818,15582.54592,0
72893,can,2030,netzero,high,ref,high,low,yes,high,385.072142,103.0848246,119.5524149,72.3218669,1731.851301,2267.426469,965.6102743,15436.11522,0
72956,can,2030,netzero,ref,low,ref,low,no,high,386.9084359,104.6495246,120.139595,73.10766794,1739.638641,2284.717847,974.8457278,15505.92821,0
73019,can,2030,netzero,low,low,ref,low,no,high,388.5035863,103.960129,120.8760791,75.54676291,1758.152882,2310.769687,984.5851738,15590.13317,0
